rank,country,iso,power_index,defense_budget_usd_2026,data_year,source,defense_budget_usd_billion,Active_Personnel,Reserve_Personnel,Paramilitary_Personnel,Tanks,Armored_Fighting_Vehicles,Total_Aircraft,Naval_Fleet_Ships,Total_Naval_Fleet,Aircraft_Carriers,Submarines,Destroyers,Frigates,Total_Aircraft,Fighter_Interceptor_Aircraft,Transport_Aircraft,Helicopters,Attack_Helicopters,Fighter_Share_of_Total_%,Helicopter_Share_of_Total_%,Attack_Helicopter_Share_of_Helicopters_%,Transport_Share_of_Total_%,Total_Manpower_Active,Tanks,Armored_Fighting_Vehicles,Self_Propelled_Artillery,Towed_Artillery,Rocket_Projectors_MLRS
131,Madagascar,MAD,3.0381,147630000,2026,Global Firepower,0.14763,13500,0,8100,12,316,6,7,7,0,0,0,0,6,0,1,5,0,0,83.33,0,16.67,13500,12,316,,17,
132,Gabon,GAB,3.0432,340950000,2026,Global Firepower,0.34095,5000,0,2500,0,424,25,5,5,0,0,0,0,25,6,3,16,0,24,64,0,12,5000,0,424,,4,28
133,Bosnia and Herzegovina,BOS,3.1291,289920000,2026,Global Firepower,0.28992,18000,8000,0,45,892,15,0,0,0,0,0,0,15,0,0,15,0,0,100,0,0,18000,45,892,,300,24
134,Iceland,ICE,3.4013,500000000,2026,Global Firepower,0.5,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,350,,,
135,Panama,PAN,3.5011,1069750000,2026,Global Firepower,1.06975,16300,0,80000,0,1550,38,22,22,0,0,0,0,38,0,13,23,0,0,60.53,0,34.21,16300,0,1550,,,
136,Moldova,MOL,3.6225,114114000,2026,Global Firepower,0.114114,6500,2000,2000,0,1598,3,0,0,0,0,0,0,3,0,1,2,0,0,66.67,0,33.33,6500,0,1598,4,67,11
137,Somalia,SOM,3.7393,870000000,2026,Global Firepower,0.87,30000,0,2000,0,1104,6,19,19,0,0,0,0,6,0,0,6,0,0,100,0,0,30000,0,1104,,,
138,Benin,BEN,3.8963,137690000,2026,Global Firepower,0.13769,4000,5000,500,0,1357,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4000,0,1357,,,
139,Kosovo,KOS,3.8041,1177450000,2026,Global Firepower,1.17745,4750,0,0,0,92,7,2,2,0,0,0,0,7,0,1,5,0,0,71.43,0,14.29,4750,0,92,,16,
140,Sierra Leone,SLE,3.9201,450000000,2026,Global Firepower,0.45,13000,0,0,0,350,1,10,10,0,0,0,0,1,0,0,1,0,0,100,0,0,13000,0,350,,,
141,Liberia,LIB,3.9275,20700000,2026,Global Firepower,0.0207,2100,0,5500,0,550,0,6,6,0,0,0,0,0,0,0,0,0,,,,,2100,0,550,,,
142,Suriname,SRN,4.0538,58440000,2026,Global Firepower,0.05844,2500,,200,0,1250,3,17,17,0,0,0,0,3,0,0,3,0,0,100,0,0,2500,0,1250,,,
143,Central African Republic,CAR,4.2381,300000000,2026,Global Firepower,0.3,30000,0,1000,0,270,8,0,0,0,0,0,0,8,0,0,0,0,0,0,,0,30000,0,270,,,
144,Belize,BLZ,4.3602,34400000,2026,Global Firepower,0.0344,2000,850,0,0,164,3,15,15,0,0,0,0,3,0,1,1,0,0,33.33,0,33.33,2000,0,164,,,
145,Bhutan,BUT,5.7991,26600000,2026,Global Firepower,0.0266,16000,50000,0,0,78,2,0,0,0,0,0,0,2,0,0,2,0,0,100,0,0,16000,0,78,,,
